1	0	0
1	0.500000000000000	0
1	1	0
0	1	0
0	0	1
0.666666666666667	0	1
1	0	0
1	0.500000000000000	0
1	1	0
0	1	0
0	0	1
0.666666666666667	0	1
1	0	0
1	0.500000000000000	0
1	1	0
0	1	0
0	0	1
0.666666666666667	0	1
1	0	0
1	0.500000000000000	0
1	1	0
0	1	0
0	0	1
0.666666666666667	0	1
1	0	0
1	0.500000000000000	0
1	1	0
0	1	0
0	0	1
0.666666666666667	0	1
1	0	0
1	0.500000000000000	0
1	1	0
0	1	0
0	0	1
0.666666666666667	0	1
1	0	0
1	0.500000000000000	0
1	1	0
0	1	0
0	0	1
0.666666666666667	0	1
1	0	0
1	0.500000000000000	0
1	1	0
0	1	0
0	0	1
0.666666666666667	0	1
1	0	0
1	0.500000000000000	0
1	1	0
0	1	0
0	0	1
0.666666666666667	0	1
1	0	0
1	0.500000000000000	0
1	1	0
0	1	0
0	0	1
0.666666666666667	0	1
1	0	0
1	0.500000000000000	0
1	1	0
0	1	0
